ID,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Fees,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Score1,Score2,Utility,Bad
A128,118,550,303,280,0,20,20,30,0,0,3,5,0,890.828596,870,0.509818182,0
A129,118,300,6,6,0,6,6,6,0,0,6,0,0,968.7271613,996,0.0201,0
A130,94,600,437,401,0,20,20,50,0,0,6,7,0,62.15720564,801,0.667816667,0
A131,118,500,424,478,0,20,20,50,26,63,6,10,0,894.9957788,699,0.95686,0
A132,118,250,215,213,0,20,20,20,9,0,6,4,0,443.8065996,719,0.8538,0
A133,118,450,425,445,0,20,20,20,27,0,3,10,0,942.9476347,708,0.988777778,0
A134,118,300,260,270,0,20,20,35,36,0,3,5,0,10.03638738,723,0.8985,0
A135,90,250,245,239,0,20,20,20,4,0,6,4,0,96.13447896,721,0.95552,0
A136,115,400,328,263,0,20,20,78,0,0,6,7,0,559.0014416,765,0.656725,0
A137,116,400,236,226,0,20,20,20,0,0,6,4,0,656.5592391,834,0.564175,0
A138,84,350,335,327,0,20,20,30,11,0,6,6,0,323.9521157,709,0.9348,0
A139,115,600,302,260,0,20,20,64,0,0,17,5,0,661.9248142,867,0.432916667,0
A140,105,525,497,491,0,20,20,20,0,0,6,8,0,441.0500895,723,0.935866667,0
A141,115,500,195,185,0,20,20,100,84,0,3,3,0,151.677718,876,0.37048,0
A142,115,650,561,533,0,20,20,40,0,0,3,9,0,350.762633,755,0.819953846,0
A143,113,550,446,434,0,20,20,36,0,0,16,7,0,992.8873216,765,0.788745455,0
A144,96,675,29,6,0,6,6,29,0,0,6,0,0,703.7007646,1000,0.008888889,0
A145,115,550,3,3,0,3,3,3,0,0,3,0,0,785.2525495,996,0.005490909,0
A146,115,650,154,664,14,20,34,75,570,0,6,8,0,960.8153803,703,1.021184615,0
A147,89,250,219,232,0,20,20,20,24,0,6,4,0,873.2747031,735,0.92736,0
A148,114,450,436,433,0,20,20,20,0,0,10,7,0,819.0069109,736,0.962266667,0
A149,114,550,464,523,0,20,20,50,90,0,6,13,0,498.4519711,717,0.950218182,0
A150,114,550,549,541,0,20,20,30,10,0,3,9,0,38.82945916,709,0.983890909,0
A151,114,450,430,462,12,20,32,50,69,0,5,7,0,285.7431354,771,1.026866667,0
A152,113,500,136,194,0,20,20,25,74,0,6,3,0,954.7475312,901,0.38756,0
A153,109,400,353,274,0,20,20,90,0,0,6,5,0,884.1544165,757,0.6855,0
A154,113,750,7,-3,0,0,0,12,0,0,3,0,0,766.3530937,,-0.003333333,0
A155,96,400,298,438,38,20,58,30,89,0,75,6,0,775.1318343,682,1.093775,0
A156,112,500,330,281,0,20,20,100,43,0,3,6,0,942.2565446,813,0.56294,0
A157,112,550,511,6,0,6,6,511,0,0,6,0,0,941.275641,993,0.010909091,0
A158,112,450,19,66,0,20,20,175,216,0,6,0,0,519.2994361,949,0.147577778,0
A159,111,700,679,676,0,21,21,30,10,0,5,11,0,721.9903509,735,0.965557143,0
A160,111,550,395,523,0,20,20,25,139,0,6,8,0,949.8488813,,0.950672727,0
A161,111,450,1,1,0,1,1,5,0,0,5,0,0,893.3518956,944,0.0026,0
A162,111,725,429,638,0,20,20,25,221,0,6,8,0,7.639089141,,0.879737931,0
A163,111,550,534,514,0,20,20,35,0,0,3,12,0,134.5123351,708,0.9338,0
A164,111,350,247,234,0,20,20,31,0,0,14,4,0,807.1542142,798,0.668685714,0
A165,111,450,-8,-5,0,0,0,0,0,0,3,0,0,632.9246331,986,-0.010288889,0
A166,110,700,81,132,0,20,20,125,170,0,6,0,0,408.8315248,942,0.187957143,0
A167,110,450,304,203,0,20,20,110,0,0,5,4,0,230.8969657,893,0.451644444,0
A168,110,550,514,495,0,20,20,50,17,0,5,8,0,84.16476857,738,0.899218182,0
A169,110,450,5,5,0,5,5,5,0,0,5,0,0,680.8090965,994,0.011,0
A170,105,550,399,371,0,25,25,42,0,0,5,9,0,444.2588369,803,0.674145455,0
A171,110,300,339,243,0,20,20,250,123,0,56,-26,0,875.45669,711,0.8101,0
A172,106,400,228,283,0,20,20,60,106,0,5,4,0,422.9865287,775,0.707675,0
A173,101,350,326,331,0,20,20,40,33,0,6,6,0,138.4470439,715,0.947028571,0
A174,109,400,399,368,0,20,20,40,0,0,3,7,0,339.1227793,711,0.9204,0
A175,109,450,340,350,0,20,20,61,0,45,14,12,0,47.87602473,758,0.7768,0
A176,109,450,228,114,0,20,20,228,62,0,51,1,0,721.708876,944,0.252755556,0
A177,109,350,416,277,0,20,20,150,0,0,5,6,0,712.794231,729,0.790314286,0
A178,97,400,56,6,0,6,6,67,0,0,17,0,0,520.4742282,,0.015,0
